,Name of the Circle,Name of the Ward,BJP,CPI,CPM,INC,AIMIM,TRS,TDP,YSRCP,Other Registered Parties with TSEC,Independents,Total Results declared
114,"RC Puram, Patancheruvu",Ward 113 - Patancheruvu,0,0,0,0,0,1,0,0,0,0,1
115,Moosapet,Ward 114 - KPHB colony,0,0,0,0,0,1,0,0,0,0,1
116,Moosapet,Ward 115 - Balaji nagar,0,0,0,0,0,1,0,0,0,0,1
117,Moosapet,Ward 116 - Allapur,0,0,0,0,0,1,0,0,0,0,1
118,Moosapet,Ward 117 - Moosapet,1,0,0,0,0,0,0,0,0,0,1
119,Moosapet,Ward 118 - Fathe nagar,0,0,0,0,0,1,0,0,0,0,1
120,Kukatpally,Ward 119 - Old bowenpally,0,0,0,0,0,1,0,0,0,0,1
121,Kukatpally,Ward 120 - Bala nagar,0,0,0,0,0,1,0,0,0,0,1
122,Kukatpally,Ward 121 - Kukatpally,0,0,0,0,0,1,0,0,0,0,1
123,Kukatpally,Ward 122 - V V nagar,0,0,0,0,0,1,0,0,0,0,1
124,Kukatpally,Ward 123 - Hyder nagar,0,0,0,0,0,1,0,0,0,0,1 
125,Kukatpally,Ward 124 - Allwyn colony,0,0,0,0,0,1,0,0,0,0,1
126,Gajularamaram,Ward 125 - Gajularamaram,0,0,0,0,0,1,0,0,0,0,1
127,Gajularamaram,Ward 126 - Jagadgiri gutta,0,0,0,0,0,1,0,0,0,0,1
128,Qutbullapur,Ward 127 - Rangareddy nagar,0,0,0,0,0,1,0,0,0,0,1
129,Gajularamaram,Ward 128 - Chintal,0,0,0,0,0,1,0,0,0,0,1
130,Gajularamaram,Ward 129 - Suraram,0,0,0,0,0,1,0,0,0,0,1
131,Qutbullapur,Ward 130 - Subhash nagar,0,0,0,0,0,1,0,0,0,0,1
132,Qutbullapur,Ward 131 - Quthubullapur,0,0,0,0,0,1,0,0,0,0,1
133,Qutbullapur,Ward 132 - Jeedimetla,1,0,0,0,0,0,0,0,0,0,1
134,Alwal,Ward 133 - Macha bollaram,0,0,0,0,0,1,0,0,0,0,1
135,Alwal,Ward 134 - Alwal,0,0,0,0,0,1,0,0,0,0,1
136,Alwal,Ward 135 - Venkata puram,0,0,0,0,0,1,0,0,0,0,1
137,Malkajgiri,Ward 136 - Neredmet,0,0,0,0,0,0,0,0,0,0,0
138,Malkajgiri,Ward 137 - Vinayaka nagar,1,0,0,0,0,0,0,0,0,0,1
139,Malkajgiri,Ward 138 - Moulali,1,0,0,0,0,0,0,0,0,0,1
140,Malkajgiri,Ward 139 - East anand bagh,0,0,0,0,0,1,0,0,0,0,1
141,Malkajgiri,Ward 140 - Malkajgiri,1,0,0,0,0,0,0,0,0,0,1
142,Malkajgiri,Ward 141 - Gotham nagar,0,0,0,0,0,1,0,0,0,0,1
143,Secunderabad,Ward 142 - Addagutta,0,0,0,0,0,1,0,0,0,0,1
144,Secunderabad,Ward 143 - Tarnaka,0,0,0,0,0,1,0,0,0,0,1
145,Secunderabad,Ward 144 - Mettuguda,0,0,0,0,0,1,0,0,0,0,1
146,Secunderabad,Ward 145 - Seethaphalmandi,0,0,0,0,0,1,0,0,0,0,1
147,Secunderabad,Ward 146 - Boudha nagar,0,0,0,0,0,1,0,0,0,0,1
148,Begumpet,Ward 147 - Bansilalpet,0,0,0,0,0,1,0,0,0,0,1
149,Begumpet,Ward 148 - Ramgopalpet,1,0,0,0,0,0,0,0,0,0,1
150,Begumpet,Ward 149 - Begumpet,0,0,0,0,0,1,0,0,0,0,1
151,Begumpet,Ward 150 - Monda Market,1,0,0,0,0,0,0,0,0,0,1
152,Total,,48,0,0,2,44,55,0,0,0,0,149
