,Buy Rates,Buy Rates,Buy Rates,Buy Rates,Buy Rates,Buy Rates,Locality Name,Project Name
,Avg price per sqft,Price range per sqft,Price rise,Properties,Trend,View properties,"{""city"":""Hyderabad"",""typeAheadType"":""locality"",""templatePath"":""doT!modules/typeAhead/views/locality"",""rows"":5,""includeGoogplePlace"":true,""includeSuggestion"":true,""placeholder"":""search locality in hyderabad""}","{""city"":""Hyderabad"",""typeAheadType"":""project"",""templatePath"":""doT!modules/typeAhead/views/project"",""rows"":5,""includeGoogplePlace"":true,""includeSuggestion"":true,""placeholder"":""search project in hyderabad""}"
7,-,-,-,,See trend,View properties,Devatabowli,
8,-,-,-,,See trend,View properties,Karwan,
9,-,-,-,,See trend,View properties,Keesaragutta,
10,"6,447 / sqft","6,447 / sqft",-21.4%,,See trend,View 1 properties,Madhura Nagar,
11,"5,268.12 / sqft","4,500 - 5,652 / sqft",21.6%,,See trend,View 3 properties,Mayuri Nagar,
12,-,-,-,,See trend,View properties,Miraj Colony,
13,-,-,-,,See trend,View properties,Miyapur HMT Swarnapuri Colony,
14,-,-,-,,See trend,View properties,Nandigam,
15,-,-,-,,See trend,View properties,Salivahana Colony,
16,-,-,27.1%,,See trend,View properties,Trimulgherry,
17,"1,600 / sqft","1,600 / sqft",-,,See trend,View 1 properties,Turkapally,
18,-,-,-,,See trend,View properties,Yamjal,
19,-,-,-,,See trend,View properties,Aremaishamma,
20,-,-,-,,See trend,View properties,Botanical Garden Road Kondapur,
21,-,-,-,,See trend,View properties,Buddha Nagar,
22,"15,584.42 / sqft","15,584 / sqft",4.9%,,See trend,View 1 properties,Champapet,
23,"5,721.93 / sqft","5,364 - 5,995 / sqft",-,,See trend,View 6 properties,Chanakyapuri,
24,"3,882.7 / sqft","3,208 - 3,949 / sqft",-,,See trend,View 3 properties,Chintalmet,
25,-,-,-,,See trend,View properties,Desh Mukhi,
26,"6,296.3 / sqft","6,296 / sqft",-,,See trend,View 1 properties,Gaddi Annaram,
27,"2,439.57 / sqft","2,437 - 2,442 / sqft",-,,See trend,View 2 properties,Gundlapochampalli,
28,"4,280.56 / sqft","3,855 - 4,683 / sqft",-,,See trend,View 4 properties,Happy Homes Colony,
29,"4,113.53 / sqft","3,533 - 4,167 / sqft",-,,See trend,View 5 properties,Janachaitanya Colony,
30,"6,265.06 / sqft","6,265 / sqft",89%,,See trend,View 1 properties,Kavuri Hills,
31,"3,357.14 / sqft","3,071 - 3,500 / sqft",-,,See trend,View 3 properties,Krishna Reddy Pet Road,
32,-,-,93.5%,,See trend,View properties,Kundanbagh,
33,-,-,-,,See trend,View properties,Madhava Hills Estates,
34,"4,200 / sqft","4,200 / sqft",-,,See trend,View 7 properties,Moula Ali Road,
35,"3,577.78 / sqft","2,533 - 5,000 / sqft",-,,See trend,View 3 properties,Nampally,
36,-,-,-,,See trend,View properties,Neeladri Nagar,
37,"4,875.21 / sqft","4,250 - 5,500 / sqft",120.7%,,See trend,View 2 properties,Panjagutta,
38,-,-,-,,See trend,View properties,Patel Guda,
39,"7,203.39 / sqft","5,814 - 7,203 / sqft",-,,See trend,View 2 properties,Peeramcheru,
40,-,-,-,,See trend,View properties,Penjerla,
41,"4,285.71 / sqft","4,200 - 4,500 / sqft",-,,See trend,View 7 properties,Puppalaguda Road,
42,-,-,-,,See trend,View properties,R Krishnaiah Nagar,
43,-,-,-,,See trend,View properties,Upperpally,
44,"5,125 / sqft","4,000 - 6,250 / sqft",81%,,See trend,View 2 properties,Vidya nagar,
45,"4,782.61 / sqft","4,783 / sqft",20.9%,,See trend,View 1 properties,Yellareddy Guda,
46,"4,339.85 / sqft","2,699 - 4,750 / sqft",-,,See trend,View 5 properties,Bachupaly Road Miyapur,
47,"6,167.29 / sqft","4,783 - 7,143 / sqft",6.3%,,See trend,View 3 properties,Bagh Amberpet,
48,-,-,-,,See trend,View properties,Banjara Hills Road Number 10,
49,-,-,-,,See trend,View properties,Budvel,
50,-,-,-,,See trend,View properties,Chitkul,
51,-,-,-,,See trend,View properties,Chitrapuri Colony,
52,-,-,-,,See trend,View properties,Dharam Karam Road Ameerpet,
53,"4,000 / sqft","4,000 / sqft",-26.2%,,See trend,View 1 properties,ECIL Cross Road,
54,"3,000 / sqft","3,000 / sqft",-,,See trend,View 1 properties,Ghanpur,
55,-,-,-,,See trend,View properties,Ghatkesar Road,
56,"3,519.83 / sqft","2,857 - 4,183 / sqft",-,,See trend,View 2 properties,Kanchan Bagh,
57,-,-,30%,,See trend,View properties,King koti,
58,-,-,-,,See trend,View properties,Korremula,
59,-,-,-,,See trend,View properties,Mallepally,
0,-,-,-,,See trend,View properties,Padma Sri Gardens Layout,
1,-,-,-,,See trend,View properties,Shivaji Nagar,
2,-,-,-,,See trend,View properties,Vattepally,
3,-,-,382.4%,,See trend,View properties,Saroor Nagar,
4,-,-,-,,See trend,View properties,Banjara Hills Road Number 12,
5,-,-,-,,See trend,View properties,Beeramguda Vandanapuri Colony,
6,-,-,-,,See trend,View properties,Bollarum,
7,-,-,-,,See trend,View properties,Devatabowli,
8,-,-,-,,See trend,View properties,Karwan,
9,-,-,-,,See trend,View properties,Keesaragutta,
10,-,-,-,,See trend,View properties,Madhura Nagar,
11,-,-,-,,See trend,View properties,Mayuri Nagar,
12,-,-,-,,See trend,View properties,Miraj Colony,
13,-,-,-,,See trend,View properties,Miyapur HMT Swarnapuri Colony,
14,-,-,-,,See trend,View properties,Nandigam,
15,-,-,-,,See trend,View properties,Salivahana Colony,
16,-,-,55.5%,,See trend,View properties,Trimulgherry,
17,-,-,-,,See trend,View properties,Turkapally,
18,-,-,-,,See trend,View properties,Yamjal,
19,-,-,-,,See trend,View properties,Aremaishamma,
20,"25,000 / sqft","25,000 / sqft",-,,See trend,View 1 properties,Botanical Garden Road Kondapur,
21,-,-,-,,See trend,View properties,Buddha Nagar,
22,-,-,-77.5%,,See trend,View properties,Champapet,
23,-,-,-,,See trend,View properties,Chanakyapuri,
24,-,-,-,,See trend,View properties,Chintalmet,
25,-,-,-,,See trend,View properties,Desh Mukhi,
26,-,-,-,,See trend,View properties,Gaddi Annaram,
27,"5,185.19 / sqft","5,185 / sqft",-,,See trend,View 1 properties,Gundlapochampalli,
28,-,-,-,,See trend,View properties,Happy Homes Colony,
29,-,-,-,,See trend,View properties,Janachaitanya Colony,
30,-,-,-,,See trend,View properties,Kavuri Hills,
31,-,-,-,,See trend,View properties,Krishna Reddy Pet Road,
32,-,-,-,,See trend,View properties,Kundanbagh,
33,-,-,-,,See trend,View properties,Madhava Hills Estates,
34,-,-,-,,See trend,View properties,Moula Ali Road,
35,-,-,-,,See trend,View properties,Nampally,
36,-,-,-,,See trend,View properties,Neeladri Nagar,
37,-,-,-91.4%,,See trend,View properties,Panjagutta,
38,-,-,-,,See trend,View properties,Patel Guda,
39,-,-,81.8%,,See trend,View properties,Peeramcheru,
40,-,-,-,,See trend,View properties,Penjerla,
41,-,-,-,,See trend,View properties,Puppalaguda Road,
42,-,-,-,,See trend,View properties,R Krishnaiah Nagar,
43,-,-,-,,See trend,View properties,Upperpally,
44,-,-,204%,,See trend,View properties,Vidya nagar,
45,-,-,-56.4%,,See trend,View properties,Yellareddy Guda,
46,"4,499 / sqft","4,499 / sqft",-,,See trend,View 1 properties,Bachupaly Road Miyapur,
47,-,-,-68.5%,,See trend,View properties,Bagh Amberpet,
48,-,-,-,,See trend,View properties,Banjara Hills Road Number 10,
49,-,-,-,,See trend,View properties,Budvel,
50,-,-,-,,See trend,View properties,Chitkul,
51,-,-,-,,See trend,View properties,Chitrapuri Colony,
52,-,-,-,,See trend,View properties,Dharam Karam Road Ameerpet,
53,-,-,-16%,,See trend,View properties,ECIL Cross Road,
54,-,-,-,,See trend,View properties,Ghanpur,
55,-,-,-,,See trend,View properties,Ghatkesar Road,
56,-,-,-,,See trend,View properties,Kanchan Bagh,
57,"6,500 / sqft","5,500 - 6,500 / sqft",-,,See trend,View 2 properties,King koti,
58,-,-,-,,See trend,View properties,Korremula,
59,-,-,-,,See trend,View properties,Mallepally,
0,-,-,-,,See trend,View properties,Padma Sri Gardens Layout,
1,-,-,-,,See trend,View properties,Shivaji Nagar,
2,722.22 / sqft,722 / sqft,-,,See trend,View 3 properties,Vattepally,
3,"7,200 / sqft","419 - 7,200 / sqft",17.9%,,See trend,View 2 properties,Saroor Nagar,
4,-,-,10%,,See trend,View properties,Banjara Hills Road Number 12,
5,-,-,-,,See trend,View properties,Beeramguda Vandanapuri Colony,
6,"4,000 / sqft","2,889 - 4,000 / sqft",-,,See trend,View 2 properties,Bollarum,
7,355.56 / sqft,356 / sqft,-,,See trend,View 8 properties,Devatabowli,
8,"6,111.11 / sqft","4,444 - 6,111 / sqft",-,,See trend,View 2 properties,Karwan,
9,"2,144.89 / sqft","1,611 - 2,145 / sqft",-,,See trend,View 8 properties,Keesaragutta,
10,-,-,-,,See trend,View properties,Madhura Nagar,
11,"8,309.04 / sqft","7,192 - 8,309 / sqft",-,,See trend,View 4 properties,Mayuri Nagar,
12,-,-,-,,See trend,View properties,Miraj Colony,
13,"6,666.67 / sqft","5,764 - 6,667 / sqft",-,,See trend,View 5 properties,Miyapur HMT Swarnapuri Colony,
14,"1,580.61 / sqft","220 - 1,989 / sqft",-,,See trend,View 8 properties,Nandigam,
15,-,-,-,,See trend,View properties,Salivahana Colony,
16,"6,111.11 / sqft","898 - 6,111 / sqft",31.5%,,See trend,View 5 properties,Trimulgherry,
17,"6,231.06 / sqft","1,056 - 10,000 / sqft",50%,,See trend,View 6 properties,Turkapally,
18,"2,462.12 / sqft","1,136 - 2,462 / sqft",-,,See trend,View 8 properties,Yamjal,
19,"6,293.29 / sqft","2,545 - 6,913 / sqft",-,,See trend,View 7 properties,Aremaishamma,
20,"11,111.11 / sqft","11,111 / sqft",-,,See trend,View 1 properties,Botanical Garden Road Kondapur,
21,"4,449.59 / sqft","4,450 / sqft",-,,See trend,View 1 properties,Buddha Nagar,
22,"7,738.1 / sqft","7,738 / sqft",28.4%,,See trend,View 1 properties,Champapet,
23,"8,888.89 / sqft","8,889 / sqft",-,,See trend,View 1 properties,Chanakyapuri,
24,"5,341.88 / sqft","5,342 / sqft",-,,See trend,View 1 properties,Chintalmet,
25,763.89 / sqft,"600 - 1,222 / sqft",-,,See trend,View 7 properties,Desh Mukhi,
26,-,-,-,,See trend,View properties,Gaddi Annaram,
27,"2,376.79 / sqft","2,142 - 2,611 / sqft",-,,See trend,View 2 properties,Gundlapochampalli,
28,-,-,-,,See trend,View properties,Happy Homes Colony,
29,-,-,-,,See trend,View properties,Janachaitanya Colony,
30,"10,555.56 / sqft","10,556 / sqft",21.4%,,See trend,View 1 properties,Kavuri Hills,
31,"1,666.67 / sqft","1,656 - 1,667 / sqft",-,,See trend,View 4 properties,Krishna Reddy Pet Road,
32,-,-,-,,See trend,View properties,Kundanbagh,
33,-,-,-,,See trend,View properties,Madhava Hills Estates,
34,-,-,-,,See trend,View properties,Moula Ali Road,
35,898.02 / sqft,898 / sqft,-,,See trend,View 1 properties,Nampally,
36,"3,856.21 / sqft","1,965 - 3,856 / sqft",-,,See trend,View 2 properties,Neeladri Nagar,
37,898.02 / sqft,898 / sqft,-,,See trend,View 1 properties,Panjagutta,
38,"1,666.67 / sqft","1,655 - 1,667 / sqft",-,,See trend,View 6 properties,Patel Guda,
39,"7,936.51 / sqft","7,937 / sqft",-,,See trend,View 1 properties,Peeramcheru,
40,"1,444.44 / sqft","599 - 1,444 / sqft",-,,See trend,View 7 properties,Penjerla,
41,-,-,-,,See trend,View properties,Puppalaguda Road,
42,-,-,-,,See trend,View properties,R Krishnaiah Nagar,
43,"2,222.22 / sqft","2,222 / sqft",-,,See trend,View 1 properties,Upperpally,
44,898.02 / sqft,898 / sqft,-,,See trend,View 1 properties,Vidya nagar,
45,-,-,-,,See trend,View properties,Yellareddy Guda,
46,-,-,-,,See trend,View properties,Bachupaly Road Miyapur,
47,"8,888.89 / sqft","8,889 / sqft",-,,See trend,View 1 properties,Bagh Amberpet,
48,-,-,-,,See trend,View properties,Banjara Hills Road Number 10,
49,"4,854.37 / sqft","2,857 - 4,854 / sqft",50%,,See trend,View 2 properties,Budvel,
50,"17,000 / sqft","1,778 - 17,000 / sqft",-,,See trend,View 6 properties,Chitkul,
51,"6,60.61 / sqft","6,061 / sqft",-,,See trend,View 1 properties,Chitrapuri Colony,
52,-,-,-,,See trend,View properties,Dharam Karam Road Ameerpet,
53,"3,473.48 / sqft","1,333 - 3,693 / sqft",233.6%,,See trend,View 5 properties,ECIL Cross Road,
54,"2,444.44 / sqft","1,610 - 2,778 / sqft",-1.1%,,See trend,View 5 properties,Ghanpur,
55,"1,444.44 / sqft","1,000 - 1,444 / sqft",-,,See trend,View 6 properties,Ghatkesar Road,
56,"4,444.44 / sqft","4,444 / sqft",-,,See trend,View 1 properties,Kanchan Bagh,
57,898.02 / sqft,898 / sqft,-,,See trend,View 1 properties,King koti,
58,"2,715.66 / sqft","1,121 - 3,409 / sqft",-,,See trend,View 6 properties,Korremula,
59,"11,963.38 / sqft","1,444 - 14,045 / sqft",-,,See trend,View 6 properties,Mallepally,
0,-,-,-,,See trend,View properties,Padma Sri Gardens Layout,
1,"3,838.38 / sqft","3,838 / sqft",-,,See trend,View 1 properties,Shivaji Nagar,
2,-,-,-,,See trend,View properties,Vattepally,
3,-,-,-,,See trend,View properties,Saroor Nagar,
4,-,-,-,,See trend,View properties,Banjara Hills Road Number 12,
5,-,-,-,,See trend,View properties,Beeramguda Vandanapuri Colony,
6,-,-,-,,See trend,View properties,Bollarum,
7,-,-,-,,See trend,View properties,Devatabowli,
8,-,-,-,,See trend,View properties,Karwan,
9,-,-,-,,See trend,View properties,Keesaragutta,
10,-,-,-,,See trend,View properties,Madhura Nagar,
11,-,-,-,,See trend,View properties,Mayuri Nagar,
12,-,-,-,,See trend,View properties,Miraj Colony,
13,-,-,-,,See trend,View properties,Miyapur HMT Swarnapuri Colony,
14,-,-,-,,See trend,View properties,Nandigam,
15,-,-,-,,See trend,View properties,Salivahana Colony,
16,-,-,-,,See trend,View properties,Trimulgherry,
17,-,-,-,,See trend,View properties,Turkapally,
18,-,-,-,,See trend,View properties,Yamjal,
19,-,-,-,,See trend,View properties,Aremaishamma,
20,-,-,-,,See trend,View properties,Botanical Garden Road Kondapur,
21,-,-,-,,See trend,View properties,Buddha Nagar,
22,-,-,-,,See trend,View properties,Champapet,
23,-,-,-,,See trend,View properties,Chanakyapuri,
24,-,-,-,,See trend,View properties,Chintalmet,
25,-,-,-,,See trend,View properties,Desh Mukhi,
26,-,-,-,,See trend,View properties,Gaddi Annaram,
27,-,-,-,,See trend,View properties,Gundlapochampalli,
28,-,-,-,,See trend,View properties,Happy Homes Colony,
29,-,-,-,,See trend,View properties,Janachaitanya Colony,
30,"7,333.33 / sqft","7,333 / sqft",-,,See trend,View 1 properties,Kavuri Hills,
31,-,-,-,,See trend,View properties,Krishna Reddy Pet Road,
32,-,-,-,,See trend,View properties,Kundanbagh,
33,-,-,-,,See trend,View properties,Madhava Hills Estates,
34,-,-,-,,See trend,View properties,Moula Ali Road,
35,-,-,-,,See trend,View properties,Nampally,
36,-,-,-,,See trend,View properties,Neeladri Nagar,
37,-,-,-,,See trend,View properties,Panjagutta,
38,-,-,-,,See trend,View properties,Patel Guda,
39,-,-,-,,See trend,View properties,Peeramcheru,
40,-,-,-,,See trend,View properties,Penjerla,
41,-,-,-,,See trend,View properties,Puppalaguda Road,
42,-,-,-,,See trend,View properties,R Krishnaiah Nagar,
43,-,-,-,,See trend,View properties,Upperpally,
44,-,-,-,,See trend,View properties,Vidya nagar,
45,-,-,-,,See trend,View properties,Yellareddy Guda,
46,-,-,-,,See trend,View properties,Bachupaly Road Miyapur,
47,-,-,-,,See trend,View properties,Bagh Amberpet,
48,-,-,-,,See trend,View properties,Banjara Hills Road Number 10,
49,-,-,-,,See trend,View properties,Budvel,
50,-,-,-,,See trend,View properties,Chitkul,
51,"5,695.36 / sqft","5,695 / sqft",-,,See trend,View 1 properties,Chitrapuri Colony,
52,-,-,-,,See trend,View properties,Dharam Karam Road Ameerpet,
53,-,-,-,,See trend,View properties,ECIL Cross Road,
54,-,-,-,,See trend,View properties,Ghanpur,
55,-,-,-,,See trend,View properties,Ghatkesar Road,
56,"2,522.52 / sqft","2,523 / sqft",-,,See trend,View 1 properties,Kanchan Bagh,
57,-,-,-,,See trend,View properties,King koti,
58,-,-,-,,See trend,View properties,Korremula,
59,-,-,-,,See trend,View properties,Mallepally,
0,5994,"3,373 - 85,000 / sqft",-,View 1615 properties,See trend,,,Aliens Group Space Station
1,6613,"5,778 - 65,789 / sqft",-,View 689 properties,See trend,,,Incor Infrastructure One City
2,1838,"984 - 5,182 / sqft",-,View 420 properties,See trend,,,Asrithas Group Hyderabad 14th Avenue
3,5934,"2,179 - 55,000 / sqft",-,View 391 properties,See trend,,,Aliens Group Space Station 1
4,911,"722 - 7,000 / sqft",-,View 354 properties,See trend,,,Vasudaika Projects LLP Cosmo Celesse
5,793,"777 - 1,000 / sqft",-,View 278 properties,See trend,,,Builder asian properities
6,916,"667 - 8,000 / sqft",-,View 207 properties,See trend,,,CBC Projects LLP Lorven Platina
7,1459,"1,111 - 11,000 / sqft",-,View 203 properties,See trend,,,Akshita Infra Golden Pride
8,1373,"137 - 12,000 / sqft",-,View 202 properties,See trend,,,Akshita Infra Golden Ridge
9,5625,-,-,View 1 properties,See trend,,,Ace Ventures Ultima 1 Kondapur
10,1175,"999 - 10,000 / sqft",-,View 179 properties,See trend,,,Srika Projects LR Song Of The South
11,6193,"4,418 - 9,303 / sqft",-,View 165 properties,See trend,,,Aliens Group Space Stations
12,752,"100 - 6,400 / sqft",-,View 155 properties,See trend,,,Aliens Group Hub
13,1245,"1,111 - 1,388 / sqft",-,View 139 properties,See trend,,,Builder Srika Green Chips
14,1424,"777 - 11,500 / sqft",-,View 138 properties,See trend,,,HPR Gardenia
15,3068,"2,415 - 26,000 / sqft",-,View 125 properties,See trend,,,Builder New project
16,1440,"1,111 - 1,666 / sqft",-,View 120 properties,See trend,,,Haripriya Associates SLNS Hills
17,1049,"944 - 9,000 / sqft",-,View 117 properties,See trend,,,Builder HPR GARDENIA
18,2323,"1,666 - 19,600 / sqft",-,View 112 properties,See trend,,,Builder Jackpot central
19,8617,"866 - 14,000 / sqft",-,View 108 properties,See trend,,,Builder HMDA Open plots
0,"4,500 / sqft","4,500 / sqft",-5.7%,,See trend,View 1 properties,Manikonda Road,
1,"4,376.86 / sqft","3,491 - 5,263 / sqft",-,,See trend,View 2 properties,Murad Nagar,
2,"4,000 / sqft","3,111 - 4,000 / sqft",2.1%,,See trend,View 3 properties,NEW MALAKPET,
3,-,-,-,,See trend,View properties,Peddamberpet,
4,-,-,-,,See trend,View properties,Punjagutta,
5,-,-,-,,See trend,View properties,Raghavendra Colony Manikonda,
6,-,-,-,,See trend,View properties,Siddipet,
7,-,-,-,,See trend,View properties,Telecom Nagar,
8,"5,800 / sqft","5,800 / sqft",-,,See trend,View 5 properties,Vasanth Nagar Colony,
9,-,-,-,,See trend,View properties,VIP Hills,
10,"5,17.48 / sqft","3,902 - 5,152 / sqft",-,,See trend,View 4 properties,Zamistanpur,
11,"6,000 / sqft","6,000 / sqft",-,,See trend,View 1 properties,Alkapoor,
12,"4,000 / sqft","3,500 - 4,000 / sqft",33.1%,,See trend,View 3 properties,Alkapur,
13,-,-,-,,See trend,View properties,Aparna Hill Park,
14,"6,202.74 / sqft","3,529 - 7,539 / sqft",-,,See trend,View 3 properties,Asif Nagar,
15,"4,334.88 / sqft","3,810 - 4,860 / sqft",14.4%,,See trend,View 2 properties,Attapur Ring Road,
16,-,-,-,,See trend,View properties,Bagath Singh Nagar Phase 2,
17,-,-,-29.3%,,See trend,View properties,Balkampet,
18,-,-,-,,See trend,View properties,Batasingaram,
19,"4,575.9 / sqft","3,402 - 4,869 / sqft",-,,See trend,View 5 properties,Bolarum to Kompally Road,
20,"4,901.96 / sqft","4,902 / sqft",-,,See trend,View 1 properties,Boudhanagar Colony,
21,"6,88.4 / sqft","4,194 - 6,563 / sqft",-,,See trend,View 3 properties,Central Excise Colony Hyderabad,
22,"2,963.37 / sqft","2,500 - 3,333 / sqft",-,,See trend,View 3 properties,Chinthal Basthi,
23,"3,699.67 / sqft","3,700 / sqft",-,,See trend,View 1 properties,Diamond Point Road,
24,"4,118.18 / sqft","4,000 - 4,118 / sqft",-,,See trend,View 2 properties,Dr AS Rao Nagar Rd,
25,-,-,-,,See trend,View properties,Gajewel,
26,"2,272.73 / sqft","2,273 / sqft",-,,See trend,View 1 properties,Golconda Fort,
27,-,-,-,,See trend,View properties,Golden Heights Road,
28,-,-,-,,See trend,View properties,Gollapalle Kalan,
29,"2,990.24 / sqft","2,954 - 3,027 / sqft",-,,See trend,View 2 properties,Huda Layout,
30,-,-,-,,See trend,View properties,Hyderabad Vijayawada Highway,
31,"3,113.6 / sqft","256 - 4,308 / sqft",-10.3%,,See trend,View 4 properties,Hydershakote,
32,"3,788.55 / sqft","3,789 / sqft",-,,See trend,View 1 properties,Injapur,
33,"2,917.1 / sqft","2,823 - 2,923 / sqft",-,,See trend,View 5 properties,Jai Hind Nagar Road,
34,"4,250 / sqft","4,250 / sqft",-,,See trend,View 4 properties,Kishan Bagh,
35,"6,400 / sqft","6,400 / sqft",-16.7%,,See trend,View 1 properties,Kokapeta Village,
36,"4,660.64 / sqft","3,750 - 4,869 / sqft",-,,See trend,View 4 properties,Kompally Road,
37,"3,842.32 / sqft","2,687 - 4,500 / sqft",5.1%,,See trend,View 4 properties,KTR Colony,
38,"4,56.44 / sqft","3,299 - 4,056 / sqft",-,,See trend,View 2 properties,manneguda,
39,"5,100 / sqft","4,800 - 5,100 / sqft",-21.5%,,See trend,View 5 properties,Nallagandla Fly over,
40,-,-,-,,See trend,View properties,New Hafeezpet Hyderabad,
41,-,-,-,,See trend,View properties,Panthangi Toll Plaza TIS,
42,-,-,-,,See trend,View properties,Pasumamula,
43,"3,428.11 / sqft","3,200 - 3,500 / sqft",-,,See trend,View 4 properties,Rakshapuram,
44,"3,543.43 / sqft","2,909 - 3,800 / sqft",-,,See trend,View 3 properties,Ramachandrapuram,
45,-,-,-,,See trend,View properties,Rambagh Colony,
46,"3,713.08 / sqft","3,000 - 4,160 / sqft",-,,See trend,View 4 properties,Ramnagar Gundu,
47,-,-,-,,See trend,View properties,Sathya Colony,
48,"4,524.96 / sqft","3,529 - 5,500 / sqft",-,,See trend,View 3 properties,Sikh Village,
49,"5,571.43 / sqft","5,571 / sqft",1.6%,,See trend,View 1 properties,SR Nagar,
50,"4,74.07 / sqft","4,074 / sqft",-,,See trend,View 2 properties,Sun City Padmasri Estates,
51,-,-,-,,See trend,View properties,Tadlakalva,
52,-,-,-,,See trend,View properties,Toopran,
53,-,-,-,,See trend,View properties,Vijayawada Highway,
54,"4,500 / sqft","4,500 / sqft",85.6%,,See trend,View 4 properties,Anand Bagh,
55,"7,197.22 / sqft","4,839 - 8,060 / sqft",11.3%,,See trend,View 4 properties,Basheer Bagh,
56,-,-,-,,See trend,View properties,BDL Township,
57,-,-,-,,See trend,View properties,Begumpet Main Road,
58,-,-,-,,See trend,View properties,Bhanur village,
59,-,-,-,,See trend,View properties,BHEL OLD MIG,
0,-,-,-,,See trend,View properties,Manikonda Road,
1,-,-,76.1%,,See trend,View properties,Murad Nagar,
2,-,-,-,,See trend,View properties,NEW MALAKPET,
3,-,-,-,,See trend,View properties,Peddamberpet,
4,-,-,-,,See trend,View properties,Punjagutta,
5,-,-,-,,See trend,View properties,Raghavendra Colony Manikonda,
6,-,-,-,,See trend,View properties,Siddipet,
7,-,-,-,,See trend,View properties,Telecom Nagar,
8,-,-,-,,See trend,View properties,Vasanth Nagar Colony,
9,-,-,-,,See trend,View properties,VIP Hills,
10,-,-,-,,See trend,View properties,Zamistanpur,
11,"6,666.67 / sqft","6,667 / sqft",-,,See trend,View 1 properties,Alkapoor,
12,-,-,-40.3%,,See trend,View properties,Alkapur,
13,-,-,-,,See trend,View properties,Aparna Hill Park,
14,-,-,-,,See trend,View properties,Asif Nagar,
15,-,-,28.7%,,See trend,View properties,Attapur Ring Road,
16,-,-,-,,See trend,View properties,Bagath Singh Nagar Phase 2,
17,-,-,-,,See trend,View properties,Balkampet,
18,-,-,-,,See trend,View properties,Batasingaram,
19,-,-,-,,See trend,View properties,Bolarum to Kompally Road,
20,-,-,-,,See trend,View properties,Boudhanagar Colony,
21,-,-,-,,See trend,View properties,Central Excise Colony Hyderabad,
22,-,-,-,,See trend,View properties,Chinthal Basthi,
23,-,-,-,,See trend,View properties,Diamond Point Road,
24,"4,473.68 / sqft","3,720 - 4,474 / sqft",-,,See trend,View 3 properties,Dr AS Rao Nagar Rd,
25,-,-,-,,See trend,View properties,Gajewel,
26,-,-,-,,See trend,View properties,Golconda Fort,
27,-,-,-,,See trend,View properties,Golden Heights Road,
28,-,-,-,,See trend,View properties,Gollapalle Kalan,
29,-,-,-,,See trend,View properties,Huda Layout,
30,-,-,-,,See trend,View properties,Hyderabad Vijayawada Highway,
31,-,-,46.3%,,See trend,View properties,Hydershakote,
32,-,-,-,,See trend,View properties,Injapur,
33,-,-,-,,See trend,View properties,Jai Hind Nagar Road,
34,-,-,-,,See trend,View properties,Kishan Bagh,
35,-,-,30%,,See trend,View properties,Kokapeta Village,
36,-,-,-,,See trend,View properties,Kompally Road,
37,-,-,-,,See trend,View properties,KTR Colony,
38,-,-,-,,See trend,View properties,manneguda,
39,-,-,-,,See trend,View properties,Nallagandla Fly over,
40,-,-,-,,See trend,View properties,New Hafeezpet Hyderabad,
41,-,-,-,,See trend,View properties,Panthangi Toll Plaza TIS,
42,-,-,-,,See trend,View properties,Pasumamula,
43,-,-,-,,See trend,View properties,Rakshapuram,
44,-,-,-,,See trend,View properties,Ramachandrapuram,
45,-,-,-,,See trend,View properties,Rambagh Colony,
46,-,-,-,,See trend,View properties,Ramnagar Gundu,
47,-,-,-,,See trend,View properties,Sathya Colony,
48,-,-,-,,See trend,View properties,Sikh Village,
49,-,-,-,,See trend,View properties,SR Nagar,
50,"6,320.99 / sqft","4,000 - 8,642 / sqft",-,,See trend,View 2 properties,Sun City Padmasri Estates,
51,-,-,-,,See trend,View properties,Tadlakalva,
52,-,-,-,,See trend,View properties,Toopran,
53,-,-,-,,See trend,View properties,Vijayawada Highway,
54,-,-,79.8%,,See trend,View properties,Anand Bagh,
55,-,-,-,,See trend,View properties,Basheer Bagh,
56,-,-,-,,See trend,View properties,BDL Township,
57,-,-,-,,See trend,View properties,Begumpet Main Road,
58,-,-,-,,See trend,View properties,Bhanur village,
59,-,-,-,,See trend,View properties,BHEL OLD MIG,
0,"10,493.83 / sqft","10,494 / sqft",21.6%,,See trend,View 1 properties,Manikonda Road,
1,-,-,-,,See trend,View properties,Murad Nagar,
2,-,-,-,,See trend,View properties,NEW MALAKPET,
3,"3,409.09 / sqft","3,409 / sqft",1862.3%,,See trend,View 1 properties,Peddamberpet,
4,-,-,-,,See trend,View properties,Punjagutta,
5,"5,555.56 / sqft","5,556 / sqft",-,,See trend,View 1 properties,Raghavendra Colony Manikonda,
6,"2,588.38 / sqft","833 - 11,364 / sqft",43.3%,,See trend,View 6 properties,Siddipet,
7,"17,777.78 / sqft","13,888 - 17,778 / sqft",-,,See trend,View 2 properties,Telecom Nagar,
8,-,-,-,,See trend,View properties,Vasanth Nagar Colony,
9,-,-,-,,See trend,View properties,VIP Hills,
10,-,-,-,,See trend,View properties,Zamistanpur,
11,"6,666.67 / sqft","4,444 - 6,667 / sqft",-,,See trend,View 3 properties,Alkapoor,
12,"59,221.66 / sqft","59,222 / sqft",60%,,See trend,View 1 properties,Alkapur,
