,Buy Rates,Buy Rates,Buy Rates,Buy Rates,Buy Rates,Buy Rates,Locality Name,Project Name
,Avg price per sqft,Price range per sqft,Price rise,Properties,Trend,View properties,"{""city"":""Hyderabad"",""typeAheadType"":""locality"",""templatePath"":""doT!modules/typeAhead/views/locality"",""rows"":5,""includeGoogplePlace"":true,""includeSuggestion"":true,""placeholder"":""search locality in hyderabad""}","{""city"":""Hyderabad"",""typeAheadType"":""project"",""templatePath"":""doT!modules/typeAhead/views/project"",""rows"":5,""includeGoogplePlace"":true,""includeSuggestion"":true,""placeholder"":""search project in hyderabad""}"
59,"7,321.2 / sqft","3,182 - 8,485 / sqft",43.3%,,See trend,View 63 properties,Habsiguda,
0,"5,743.21 / sqft","4,267 - 6,481 / sqft",110.5%,,See trend,View 3 properties,Kothur,
1,"13,201.17 / sqft","6,423 - 16,989 / sqft",-9.6%,,See trend,View 9 properties,Kondapur,
2,"11,746.36 / sqft","5,017 - 12,833 / sqft",-20.7%,,See trend,View 78 properties,Tellapur,
3,"5,180.37 / sqft","2,000 - 6,667 / sqft",192.1%,,See trend,View 15 properties,Shadnagar,
4,"15,33.6 / sqft","2,323 - 46,154 / sqft",279.6%,,See trend,View 50 properties,Gachibowli,
5,"6,888.47 / sqft","3,083 - 7,360 / sqft",82.2%,,See trend,View 56 properties,Maheshwaram,
6,"12,147.56 / sqft","4,237 - 13,668 / sqft",248.1%,,See trend,View 20 properties,Kukatpally,
7,"6,258.29 / sqft","2,500 - 6,423 / sqft",429%,,See trend,View 34 properties,Tukkuguda,
8,"8,202.13 / sqft","2,997 - 11,266 / sqft",37.7%,,See trend,View 46 properties,Patancheru,
9,"12,180.52 / sqft","4,187 - 14,438 / sqft",29.9%,,See trend,View 10 properties,Miyapur,
10,"7,470.83 / sqft","3,654 - 9,091 / sqft",4.8%,,See trend,View 17 properties,Beeramguda,
11,"4,167.45 / sqft","3,150 - 4,600 / sqft",43.5%,,See trend,View 5 properties,Adibatla,
12,"12,894.74 / sqft","6,296 - 13,793 / sqft",-16.8%,,See trend,View 7 properties,Hitech City,
